# Funções extraídas de libfs18.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
000000000036fabc   | _ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE6sbumpcEv | std::__ndk1::basic_streambuf<wchar_t, std::__ndk1::char_traits<wchar_t> >::sbumpc()
00000000003b1b08   | _ZNSt6__ndk14stolERKNS_12basic_stringIwNS_11char_traitsIwEENS_9allocatorIwEEEEPmi | std::__ndk1::stol(std::__ndk1::basic_string<wchar_t, std::__ndk1::char_traits<wchar_t>, std::__ndk1::allocator<wchar_t> > const&, unsigned long*, int)
00000000003acf68   | _Znam                                    | operator new[](unsigned long)
000000000025b3dc   | _ZN17GameStateSaveGame14toggleCrcCheckEv | GameStateSaveGame::toggleCrcCheck()
000000000026f30c   | _ZNK12b2MouseJoint16GetReactionForceEf   | b2MouseJoint::GetReactionForce(float) const
000000000028f474   | _ZN3Cki12AdpcmDecoder11setFramePosEi     | Cki::AdpcmDecoder::setFramePos(int)
00000000003ac8e8   | _ZNSt6__ndk121recursive_timed_mutex4lockEv | std::__ndk1::recursive_timed_mutex::lock()
00000000001f8c40   | _ZN12TreeStanding6updateEf8PlayMode      | TreeStanding::update(float, PlayMode)
000000000024f74c   | _ZN13GameStateBase11canSellItemEj        | GameStateBase::canSellItem(unsigned int)
000000000026291c   | _ZN16b2ContactManager7DestroyEP9b2Contact | b2ContactManager::Destroy(b2Contact*)
00000000002ae810   | _ZNK3Cki4Path7getLeafEv                  | Cki::Path::getLeaf() const
00000000001b5274   | _ZN5FieldD1Ev                            | Field::~Field()
00000000002663e4   | _ZNK7b2World14GetTreeQualityEv           | b2World::GetTreeQuality() const
000000000029c7bc   | _ZN3Cki12FourCharCode4readERNS_12BinaryStreamE | Cki::FourCharCode::read(Cki::BinaryStream&)
00000000003a2178   | _ZNKSt6__ndk120__codecvt_utf8_utf16IDsE9do_lengthER9mbstate_tPKcS5_m | std::__ndk1::__codecvt_utf8_utf16<char16_t>::do_length(mbstate_t&, char const*, char const*, unsigned long) const
00000000001a90f4   | _ZN10RenderArgsC1Ev                      | RenderArgs::RenderArgs()
000000000020e0b8   | _ZN7Vehicle10getWarningE8PlayMode        | Vehicle::getWarning(PlayMode)
00000000002f8534   | _ZN12PricesScreen12gotoNextPageEv        | PricesScreen::gotoNextPage()
000000000029a004   | _ZN3Cki7ProxiedINS_6EffectEED1Ev         | Cki::Proxied<Cki::Effect>::~Proxied()
00000000002ad618   | _ZN3Cki11FixedStringILi64EEC1EPKc        | Cki::FixedString<64>::FixedString(char const*)
